JobID             Pending             Running
2806226                 2                  63
2806227                 2                  45
2806228                 2                  60
2806229                 2                  51
2806230                 2                  45
2806231                 2                  47
2806232                 2                  50
2806233                 2                  52
2806234                 2                  49
2806235                 2                  52

2806236                 2                  42
2806237                 2                  39
2806238                 2                  43
2806239                 2                  41
2806240                 2                  38
2806241                 2                  46
2806242                 2                  43
2806243                 2                  45
2806244                 2                  40
2806245                 2                  79

2806246                 4                  45
2806247                 4                  43
2806248                 4                  45
2806249                 4                  43
2806250                 4                  70
2806251                 4                  50
2806252                 4                  42
2806253                 4                  58
2806254                 4                  72
2806255                 4                  42

2806256                 4                  42
2806257                 4                  78
2806258                 4                  38
2806259                 4                  38
2806260                 4                  41
2806261                 4                  45
2806262                 4                  41
2806263                 4                  38
2806264                 4                  39
2806265                 4                  39

2806266                 6                  39
2806267                 6                  41
2806268                 6                  38
2806269                 6                  39
2806270                 6                  42
2806271                 6                  43
2806273                 6                  38
2806274                 6                  38
2806275                 6                  42
2806276                 6                  43

2806277                 6                  42
2806278                 6                  43
2806279                 6                  43
2806280                 6                  38
2806281                15                  41
2806282                15                  42
2806283                20                  46
2806284                20                  43
2806285                22                  47
2806286                24                  41
